state_full,pct_female,pct_black,pct_college,voting_age_pop,state
Alabama,51.353415967726924,26.37861439289496,27.208387292476054,6969475,AL
Alaska,47.38187939647887,3.183768564044849,30.74828503862136,980643,AK
Arizona,49.96697006615189,4.5602919684418435,31.79887348920128,9839985,AZ
Arkansas,50.58676522666116,15.128952528415669,24.70555115616481,4144511,AR
California,49.921498835352196,5.596557525104619,35.86440155903851,53965086,CA
Colorado,49.26885227152608,4.049913443393366,43.73070433568681,7895630,CO
Connecticut,51.009673202324805,10.672200751138712,41.38488331039079,5020666,CT
Delaware,51.39975946902032,21.96641623936355,34.461651369859105,1386242,DE
Florida,50.787992657478235,15.510890022149315,32.33321867666608,30190947,FL
Georgia,51.0882574441644,31.466570916289143,33.63367520555638,14759222,GA
Hawaii,49.533603246681174,1.9760938487745323,34.71617919882957,1994841,HI
Idaho,49.6400697046398,0.6893337986062308,30.20904135623643,2512284,ID
Illinois,50.5157539399547,13.910141958924358,36.67159211270079,17584569,IL
Indiana,50.37443972594199,9.444486125013505,28.235267120629306,9291681,IN
Iowa,49.87026614099941,3.782540086727571,30.28004853599049,4355560,IA
Kansas,49.762016838322,5.571707967718488,34.68767518634637,3990827,KS
Kentucky,50.38700314350529,7.998871846917622,26.47245337547508,6191177,KY
Louisiana,50.96807573936343,31.56055343487598,26.130434141818423,6389234,LA
Maine,50.67628711824655,1.5929635999587402,34.12279402481806,1913637,ME
Maryland,51.26519323297911,29.893112411868984,42.223142911132264,8544901,MD
Massachusetts,51.04182938501948,7.141614543101183,45.909850224619376,9744950,MA
Michigan,50.350614207449034,13.5568672690907,31.135980297585668,13880569,MI
Minnesota,49.8188328184051,6.708734161479341,38.19541233824559,7787798,MN
Mississippi,51.400377038886106,37.23870725276003,23.881814052782016,4081968,MS
Missouri,50.61729598652806,11.274689970885975,31.19323646992731,8479157,MO
Montana,49.28597596717468,0.551912368112544,33.978765497230285,1495901,MT
Nebraska,49.739629462683624,4.775799552717057,33.463338229621634,2657456,NE
Nevada,49.48713563472501,9.347507437636422,26.549382753295795,4251633,NV
New Hampshire,50.00579874022369,1.5163705684939948,39.04816048079266,1919194,NH
New Jersey,50.73737739704011,13.117707166661098,42.252477554468236,12791078,NJ
New Mexico,50.15969510471899,2.1251969856986843,29.074668667724847,2899332,NM
New York,51.07982098368746,15.059812560320077,38.79253659727761,27827224,NY
North Carolina,50.99078204132218,20.93992539216486,33.86575669760874,14488323,NC
North Dakota,48.595911306080524,3.248017052958395,31.42560285705256,1046838,ND
Ohio,50.6166238190871,12.30988554001836,30.370645802810277,16245714,OH
Oklahoma,50.12014868667575,7.164166098098047,27.2668071835271,5415381,OK
Oregon,50.03182504077436,1.8819097105150786,35.48265877451072,5852383,OR
Pennsylvania,50.64544350971976,10.838335947811444,33.75646343268351,18016219,PA
Rhode Island,50.90509481379941,6.179118117432031,36.2804103287505,1527013,RI
South Carolina,51.193058188712264,25.78793447085703,30.640913106358813,7134206,SC
South Dakota,49.26994345992888,2.1929775299828607,30.367563290870596,1205573,SD
Tennessee,50.8796794579602,16.27458269856373,29.706987941274868,9574637,TN
Texas,49.989854100806944,12.148334482426803,32.26589698200217,39640876,TX
Utah,49.29032108749321,1.1484224569699395,36.130931941575135,4367979,UT
Vermont,50.24370316984977,1.2425910508592517,41.724669032509645,895687,VT
Virginia,50.50415032226175,18.90373842644528,40.96576834953444,11890624,VA
Washington,49.562420685619614,3.9211169753876836,37.952568336177755,10551948,WA
West Virginia,50.09545630231901,3.414842548691638,22.71116112963212,2481237,WV
Wisconsin,49.86912899549279,6.176863203248892,32.02389131364427,8082298,WI
Wyoming,48.81118614916365,0.8462977286137224,28.989387496745806,783741,WY
