year,state_abbr,exit_poll_conducted
2008,AK,TRUE
2008,AL,TRUE
2008,AR,TRUE
2008,AZ,TRUE
2008,CA,TRUE
2008,CO,TRUE
2008,CT,TRUE
2008,DC,TRUE
2008,DE,TRUE
2008,FL,TRUE
2008,GA,TRUE
2008,HI,TRUE
2008,IA,TRUE
2008,ID,TRUE
2008,IL,TRUE
2008,IN,TRUE
2008,KS,TRUE
2008,KY,TRUE
2008,LA,TRUE
2008,MA,TRUE
2008,MD,TRUE
2008,ME,TRUE
2008,MI,TRUE
2008,MN,TRUE
2008,MO,TRUE
2008,MS,TRUE
2008,MT,TRUE
2008,NC,TRUE
2008,ND,TRUE
2008,NE,TRUE
2008,NH,TRUE
2008,NJ,TRUE
2008,NM,TRUE
2008,NV,TRUE
2008,NY,TRUE
2008,OH,TRUE
2008,OK,TRUE
2008,OR,TRUE
2008,PA,TRUE
2008,RI,TRUE
2008,SC,TRUE
2008,SD,TRUE
2008,TN,TRUE
2008,TX,TRUE
2008,UT,TRUE
2008,VA,TRUE
2008,VT,TRUE
2008,WA,TRUE
2008,WI,TRUE
2008,WV,TRUE
2008,WY,TRUE
2012,AL,TRUE
2012,AZ,TRUE
2012,CA,TRUE
2012,CO,TRUE
2012,CT,TRUE
2012,FL,TRUE
2012,IA,TRUE
2012,IL,TRUE
2012,IN,TRUE
2012,KS,TRUE
2012,MA,TRUE
2012,MD,TRUE
2012,ME,TRUE
2012,MI,TRUE
2012,MN,TRUE
2012,MO,TRUE
2012,MS,TRUE
2012,MT,TRUE
2012,NC,TRUE
2012,NH,TRUE
2012,NJ,TRUE
2012,NM,TRUE
2012,NV,TRUE
2012,NY,TRUE
2012,OH,TRUE
2012,OR,TRUE
2012,PA,TRUE
2012,VA,TRUE
2012,VT,TRUE
2012,WA,TRUE
2012,WI,TRUE
2016,AZ,TRUE
2016,CA,TRUE
2016,CO,TRUE
2016,FL,TRUE
2016,GA,TRUE
2016,IA,TRUE
2016,IL,TRUE
2016,IN,TRUE
2016,KY,TRUE
2016,ME,TRUE
2016,MI,TRUE
2016,MN,TRUE
2016,MO,TRUE
2016,NC,TRUE
2016,NH,TRUE
2016,NJ,TRUE
2016,NM,TRUE
2016,NV,TRUE
2016,NY,TRUE
2016,OH,TRUE
2016,OR,TRUE
2016,PA,TRUE
2016,SC,TRUE
2016,TX,TRUE
2016,UT,TRUE
2016,VA,TRUE
2016,WA,TRUE
2016,WI,TRUE
2020,AL,TRUE
2020,AZ,TRUE
2020,CA,TRUE
2020,CO,TRUE
2020,DC,TRUE
2020,FL,TRUE
2020,GA,TRUE
2020,IA,TRUE
2020,KY,TRUE
2020,ME,TRUE
2020,MI,TRUE
2020,MN,TRUE
2020,MT,TRUE
2020,NC,TRUE
2020,NH,TRUE
2020,NV,TRUE
2020,NY,TRUE
2020,OH,TRUE
2020,OR,TRUE
2020,PA,TRUE
2020,SC,TRUE
2020,TX,TRUE
2020,VA,TRUE
2020,WA,TRUE
2020,WI,TRUE
2024,AZ,TRUE
2024,FL,TRUE
2024,GA,TRUE
2024,MI,TRUE
2024,NC,TRUE
2024,NV,TRUE
2024,OH,TRUE
2024,PA,TRUE
2024,TX,TRUE
2024,WI,TRUE
