state,dem_votes,total_votes,rep_votes,dem_share,rep_share
DC,282830,312575,12723,0.9048388386787171,0.04070383108054067
CA,8753788,14181595,4483810,0.6172639960455788,0.3161710653843943
HI,266891,437664,128847,0.6098079805512905,0.29439707172625573
MD,1678006,2781446,943428,0.6032854853195064,0.3391861643188471
MA,1995196,3378821,1090893,0.5905006509667129,0.3228620279085515
NY,4379789,7802084,2527142,0.5613614259984896,0.32390602305742927
IL,3090729,5536424,2146015,0.558253666987933,0.3876175307382527
VT,178573,320467,95369,0.5572274212321393,0.29759382401308093
NJ,2148278,3874046,1601933,0.554530844496942,0.4135038665002945
CT,897572,1644920,673215,0.5456630109670987,0.40926914378814777
RI,252525,464144,180543,0.5440660657037472,0.3889805749939674
DE,235603,441590,185127,0.5335333680563419,0.41922824339319276
WA,1742718,3317019,1221747,0.5253868006182659,0.3683268018663746
OR,1002106,2001336,782403,0.5007185200286208,0.39094035184496756
VA,1981473,3982752,1769443,0.49751352833417695,0.44427647013924043
NM,385234,798319,319667,0.48255647178634103,0.40042514333242724
CO,1338870,2780220,1202484,0.48156980382847403,0.4325139737143104
NV,539260,1125385,512058,0.4791782367811904,0.4550069531760242
PA,2926441,6115402,2970733,0.4785361616456285,0.4857788580374602
FL,4504975,9420039,4617886,0.4782331580580505,0.49021941416590736
MI,2268839,4799284,2279543,0.4727453095086684,0.47497564219996147
NH,348526,744296,345790,0.46826262669690555,0.46458666981953417
WI,1382536,2976150,1405284,0.4645384137224266,0.4721818456731012
MN,1367705,2944782,1322949,0.4644503396176695,0.4492519310427733
ME,357735,771892,335593,0.4634521409730895,0.43476678084498865
NC,2189316,4741564,2362631,0.46172866168209475,0.49828094696180414
GA,1877963,4114732,2089104,0.4563998335736082,0.50771326054771
AZ,1161209,2573165,1252401,0.45127654075817136,0.4867161647232105
OH,2394164,5496487,2841005,0.4355807627672002,0.5168765067578619
TX,3877868,8969226,4685047,0.4323525798101196,0.5223468557933538
IA,653669,1565580,800983,0.41752513445496237,0.5116206134467737
SC,855373,2103027,1155389,0.4067341978966509,0.5493933268569543
MS,485131,1209357,700714,0.40114788271784096,0.5794103808883564
LA,780154,2029032,1178638,0.3844956609851397,0.580886846535688
MO,1071068,2808605,1594511,0.3813523083523671,0.5677234783816165
IN,1033126,2734958,1557286,0.37774839686752043,0.5694003344841128
AK,116454,318608,163387,0.36550871290111986,0.5128151207753728
KS,427005,1184402,671018,0.36052370732234496,0.5665458180583958
MT,177709,494526,279240,0.35935218775150346,0.5646619186857719
TN,870695,2508027,1522925,0.34716332798650096,0.6072203369421462
AL,729547,2123372,1318255,0.3435794575797364,0.6208309236440906
NE,284494,844227,495961,0.33698756377135536,0.5874735112712576
AR,380494,1130635,684872,0.33653124129360934,0.6057410216382829
KY,628854,1924149,1202971,0.3268218833364776,0.6251963855190009
SD,117458,370093,227721,0.3173742815994899,0.615307503789588
OK,420375,1452992,949136,0.2893168028454389,0.6532286481962736
ID,189765,690255,409055,0.27492013820979205,0.5926143236919689
UT,310674,1131317,515211,0.2746126859226901,0.4554081658810042
ND,93758,344360,216794,0.27226739458706006,0.629556278313393
WV,188794,713051,489371,0.26476928017771517,0.6863057481161936
WY,55973,258788,174419,0.2162890087639303,0.6739841105460841
